Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Bot\Bot.csproj,File,Bot\Bot.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,Bot\Bot.csproj,File,Bot\Bot.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Bot\Bot.csproj,File,Bot\Bot.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.8 Recommended target framework: net8.0"
